Detailed Statistics Departures  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Origin Airport El Paso, TX El Paso International (ELP),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airline Delta Airlines Inc. (DL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month(s) January, February, March, April, May, June, July, August, September, October, November, and December,,,,,,,,,,,,,,,,,,
Day(s) 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29, 30 and 31
Year(s) 2019, 2020 and 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),,,,,,,,,,,,,
DL,1/1/19,1351,N924DN,ATL,610,608,183,200,-2,655,47,0,0,15,0,0,,,,,,,,,,,,,
DL,1/1/19,1287,N916DN,ATL,1409,1413,186,157,4,1423,10,0,0,0,0,0,,,,,,,,,,,,,
DL,1/2/19,1351,N916DN,ATL,610,610,186,194,0,654,44,0,0,0,0,0,,,,,,,,,,,,,
DL,1/2/19,1287,N931DN,ATL,1416,1415,187,167,-1,1426,11,0,0,0,0,0,,,,,,,,,,,,,
DL,1/3/19,1351,N912DN,ATL,610,609,186,197,-1,646,37,0,0,0,0,0,,,,,,,,,,,,,
DL,1/3/19,1287,N929DN,ATL,1416,1411,187,183,-5,1427,16,0,0,0,0,0,,,,,,,,,,,,,
DL,1/4/19,1351,N929DN,ATL,610,602,186,212,-8,652,50,0,0,18,0,0,,,,,,,,,,,,,
DL,1/4/19,1287,N962DN,ATL,1416,1410,187,183,-6,1429,19,0,0,0,0,0,,,,,,,,,,,,,
DL,1/5/19,2422,N962DN,ATL,600,613,182,187,13,640,27,13,0,5,0,0,,,,,,,,,,,,,
DL,1/5/19,2430,N929DN,ATL,1335,1332,181,184,-3,1344,12,0,0,0,0,0,,,,,,,,,,,,,
DL,1/6/19,2422,N926DH,ATL,600,601,184,170,1,611,10,0,0,0,0,0,,,,,,,,,,,,,
DL,1/6/19,2430,N942DN,ATL,1335,1329,182,178,-6,1342,13,0,0,0,0,0,,,,,,,,,,,,,
DL,1/7/19,2422,N963DN,ATL,600,608,184,165,8,624,16,0,0,0,0,0,,,,,,,,,,,,,
DL,1/7/19,2430,N950DN,ATL,1335,1339,182,163,4,1351,12,0,0,0,0,0,,,,,,,,,,,,,
DL,1/8/19,2422,N909DA,ATL,600,604,184,177,4,622,18,0,0,0,0,0,,,,,,,,,,,,,
DL,1/8/19,2430,N951DN,ATL,1335,1330,182,169,-5,1342,12,0,0,0,0,0,,,,,,,,,,,,,
DL,1/9/19,2422,N926DH,ATL,600,558,184,171,-2,612,14,0,0,0,0,0,,,,,,,,,,,,,
DL,1/9/19,2430,N928DN,ATL,1335,1328,182,177,-7,1340,12,0,0,0,0,0,,,,,,,,,,,,,
DL,1/10/19,2422,N928DN,ATL,600,554,184,175,-6,614,20,0,0,0,0,0,,,,,,,,,,,,,
DL,1/10/19,2430,N942DN,ATL,1335,1314,182,170,-21,1328,14,0,0,0,0,0,,,,,,,,,,,,,
DL,1/11/19,2422,N926DH,ATL,600,557,184,169,-3,613,16,0,0,0,0,0,,,,,,,,,,,,,
DL,1/11/19,2430,N947DN,ATL,1335,1332,182,173,-3,1349,17,0,0,0,0,0,,,,,,,,,,,,,
DL,1/12/19,2422,N910DN,ATL,600,557,182,180,-3,620,23,0,0,0,0,0,,,,,,,,,,,,,
DL,1/12/19,2430,N920DN,ATL,1335,1335,181,163,0,1345,10,0,0,0,0,0,,,,,,,,,,,,,
DL,1/13/19,2422,N920DN,ATL,600,557,184,166,-3,605,8,0,0,0,0,0,,,,,,,,,,,,,
DL,1/13/19,2430,N920DN,ATL,1335,1415,182,159,40,1420,5,14,0,0,0,3,,,,,,,,,,,,,
DL,1/14/19,2422,N947DN,ATL,600,605,184,171,5,621,16,0,0,0,0,0,,,,,,,,,,,,,
DL,1/14/19,2430,N921DN,ATL,1335,1330,182,178,-5,1346,16,0,0,0,0,0,,,,,,,,,,,,,
DL,1/15/19,2422,N946DN,ATL,600,554,184,172,-6,609,15,0,0,0,0,0,,,,,,,,,,,,,
DL,1/15/19,2430,N911DA,ATL,1335,1331,182,161,-4,1341,10,0,0,0,0,0,,,,,,,,,,,,,
DL,1/16/19,2422,N929DN,ATL,600,548,184,180,-12,613,25,0,0,0,0,0,,,,,,,,,,,,,
DL,1/16/19,2430,N963DN,ATL,1335,1320,182,170,-15,1333,13,0,0,0,0,0,,,,,,,,,,,,,
DL,1/17/19,2422,N908DA,ATL,600,557,184,171,-3,616,19,0,0,0,0,0,,,,,,,,,,,,,
DL,1/17/19,2430,N936DN,ATL,1335,1334,182,185,-1,1351,17,0,0,0,0,0,,,,,,,,,,,,,
DL,1/18/19,2422,N928DN,ATL,600,606,184,171,6,625,19,0,0,0,0,0,,,,,,,,,,,,,
DL,1/18/19,2430,N942DN,ATL,1335,1327,182,164,-8,1342,15,0,0,0,0,0,,,,,,,,,,,,,
DL,1/19/19,2422,N908DA,ATL,600,600,182,178,0,616,16,0,0,0,0,0,,,,,,,,,,,,,
DL,1/20/19,2422,N928DN,ATL,600,606,182,176,6,620,14,0,0,0,0,0,,,,,,,,,,,,,
DL,1/21/19,2422,N912DN,ATL,600,555,184,163,-5,607,12,0,0,0,0,0,,,,,,,,,,,,,
DL,1/21/19,2430,N942DN,ATL,1335,1341,182,159,6,1352,11,0,0,0,0,0,,,,,,,,,,,,,
DL,1/22/19,2422,N963DN,ATL,600,559,184,170,-1,619,20,0,0,0,0,0,,,,,,,,,,,,,
DL,1/22/19,2430,N929DN,ATL,1335,1329,182,169,-6,1342,13,0,0,0,0,0,,,,,,,,,,,,,
DL,1/23/19,2422,N936DN,ATL,600,556,184,169,-4,605,9,0,0,0,0,0,,,,,,,,,,,,,
DL,1/23/19,2430,N920DN,ATL,1335,1328,182,202,-7,1343,15,0,0,0,0,0,,,,,,,,,,,,,
DL,1/24/19,2422,N920DN,ATL,600,555,184,167,-5,612,17,0,0,0,0,0,,,,,,,,,,,,,
DL,1/24/19,2430,N929DN,ATL,1335,1359,182,169,24,1412,13,0,0,0,0,0,,,,,,,,,,,,,
DL,1/25/19,2422,N921DN,ATL,600,557,184,184,-3,611,14,0,0,0,0,0,,,,,,,,,,,,,
DL,1/25/19,2430,N960DN,ATL,1335,1329,182,171,-6,1344,15,0,0,0,0,0,,,,,,,,,,,,,
DL,1/26/19,2422,N916DN,ATL,600,553,182,172,-7,609,16,0,0,0,0,0,,,,,,,,,,,,,
DL,1/26/19,2430,N952DN,ATL,1335,1329,181,174,-6,1344,15,0,0,0,0,0,,,,,,,,,,,,,
DL,1/27/19,2422,N915DN,ATL,600,554,184,178,-6,608,14,0,0,0,0,0,,,,,,,,,,,,,
DL,1/27/19,2430,N945DN,ATL,1335,1330,182,180,-5,1343,13,0,0,0,0,0,,,,,,,,,,,,,
DL,1/28/19,2422,N912DN,ATL,600,552,184,178,-8,608,16,0,0,0,0,0,,,,,,,,,,,,,
DL,1/28/19,2430,N917DN,ATL,1335,1522,182,170,107,1535,13,3,0,0,0,92,,,,,,,,,,,,,
DL,1/29/19,2422,N931DN,ATL,600,000,184,0,0,000,0,0,0,0,0,0,,,,,,,,,,,,,
DL,1/29/19,2430,N913DN,ATL,1335,1335,182,164,0,1346,11,0,0,0,0,0,,,,,,,,,,,,,
DL,1/30/19,2422,N913DN,ATL,600,601,184,166,1,617,16,0,0,0,0,0,,,,,,,,,,,,,
DL,1/30/19,2430,N916DN,ATL,1335,1331,182,169,-4,1342,11,0,0,0,0,0,,,,,,,,,,,,,
DL,1/31/19,2422,N925DN,ATL,600,600,184,174,0,619,19,0,0,0,0,0,,,,,,,,,,,,,
DL,1/31/19,2430,N924DN,ATL,1335,1331,182,173,-4,1344,13,0,0,0,0,0,,,,,,,,,,,,,
DL,2/1/19,2422,N931DN,ATL,600,558,184,178,-2,609,11,0,0,0,0,0,,,,,,,,,,,,,
DL,2/1/19,2430,N929DN,ATL,1335,1331,182,190,-4,1354,23,0,0,0,0,0,,,,,,,,,,,,,
DL,2/2/19,2422,N960DN,ATL,600,601,182,166,1,612,11,0,0,0,0,0,,,,,,,,,,,,,
