Detailed Statistics Departures  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Origin Airport Houston, TX George Bush Intercontinental/Houston (IAH),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airline Frontier Airlines Inc. (F9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month(s) January, February, March, April, May, June, July, August, September, October, November, and December,,,,,,,,,,,,,,,,,,
Day(s) 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29, 30 and 31
Year(s) 2019, 2020 and 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),,,,,,,,,,,,,
F9,1/2/19,243,N343FR,DEN,514,522,161,154,8,537,15,0,0,0,0,0,,,,,,,,,,,,,
F9,1/3/19,243,N329FR,DEN,514,514,161,146,0,527,13,0,0,0,0,0,,,,,,,,,,,,,
F9,1/4/19,243,N235FR,DEN,514,544,161,162,30,618,34,30,0,1,0,0,,,,,,,,,,,,,
F9,1/4/19,1986,N229FR,RDU,1842,1901,160,139,19,1911,10,0,0,0,0,0,,,,,,,,,,,,,
F9,1/5/19,243,N227FR,DEN,514,511,161,150,-3,525,14,0,0,0,0,0,,,,,,,,,,,,,
F9,1/6/19,243,N238FR,DEN,514,525,161,139,11,537,12,0,0,0,0,0,,,,,,,,,,,,,
F9,1/7/19,243,N235FR,DEN,514,512,161,142,-2,522,10,0,0,0,0,0,,,,,,,,,,,,,
F9,1/8/19,243,N338FR,DEN,1015,1006,161,153,-9,1024,18,0,0,0,0,0,,,,,,,,,,,,,
F9,1/9/19,243,N206FR,DEN,514,511,161,148,-3,524,13,0,0,0,0,0,,,,,,,,,,,,,
F9,1/10/19,243,N322FR,DEN,514,507,161,151,-7,519,12,0,0,0,0,0,,,,,,,,,,,,,
F9,1/11/19,243,N339FR,DEN,514,512,161,138,-2,522,10,0,0,0,0,0,,,,,,,,,,,,,
F9,1/12/19,243,N221FR,DEN,514,507,161,138,-7,517,10,0,0,0,0,0,,,,,,,,,,,,,
F9,1/13/19,243,N309FR,DEN,514,510,161,145,-4,522,12,0,0,0,0,0,,,,,,,,,,,,,
F9,1/14/19,243,N318FR,DEN,514,506,161,157,-8,525,19,0,0,0,0,0,,,,,,,,,,,,,
F9,1/15/19,243,N322FR,DEN,1015,1014,161,147,-1,1030,16,0,0,0,0,0,,,,,,,,,,,,,
F9,1/16/19,243,N207FR,DEN,514,510,161,144,-4,521,11,0,0,0,0,0,,,,,,,,,,,,,
F9,1/17/19,243,N216FR,DEN,514,509,161,145,-5,519,10,0,0,0,0,0,,,,,,,,,,,,,
F9,1/18/19,243,N328FR,DEN,514,508,161,157,-6,521,13,0,0,0,0,0,,,,,,,,,,,,,
F9,1/19/19,243,N307FR,DEN,514,513,161,155,-1,536,23,0,0,0,0,0,,,,,,,,,,,,,
F9,1/20/19,243,N308FR,DEN,514,513,161,189,-1,602,49,0,0,27,0,0,,,,,,,,,,,,,
F9,1/21/19,243,N324FR,DEN,514,505,161,150,-9,516,11,0,0,0,0,0,,,,,,,,,,,,,
F9,1/22/19,243,N305FR,DEN,1015,1050,161,143,35,1103,13,0,0,17,0,0,,,,,,,,,,,,,
F9,1/23/19,243,N341FR,DEN,514,513,161,146,-1,527,14,0,0,0,0,0,,,,,,,,,,,,,
F9,1/24/19,243,N211FR,DEN,514,510,161,155,-4,524,14,0,0,0,0,0,,,,,,,,,,,,,
F9,1/25/19,243,N322FR,DEN,514,510,161,150,-4,524,14,0,0,0,0,0,,,,,,,,,,,,,
F9,1/26/19,243,N329FR,DEN,514,520,161,149,6,531,11,0,0,0,0,0,,,,,,,,,,,,,
F9,1/27/19,243,N233FR,DEN,514,510,161,171,-4,524,14,0,0,0,0,0,,,,,,,,,,,,,
F9,1/28/19,243,N236FR,DEN,514,508,161,180,-6,518,10,0,0,0,0,0,,,,,,,,,,,,,
F9,1/29/19,243,N230FR,DEN,1015,1007,161,181,-8,1037,30,0,0,0,0,0,,,,,,,,,,,,,
F9,1/30/19,243,N339FR,DEN,514,509,161,148,-5,525,16,0,0,0,0,0,,,,,,,,,,,,,
F9,1/31/19,243,N210FR,DEN,514,507,161,137,-7,517,10,0,0,0,0,0,,,,,,,,,,,,,
F9,2/1/19,243,N344FR,DEN,514,511,161,141,-3,525,14,0,0,0,0,0,,,,,,,,,,,,,
F9,2/2/19,243,N335FR,DEN,514,511,161,160,-3,522,11,0,0,0,0,0,,,,,,,,,,,,,
F9,2/3/19,243,N342FR,DEN,514,513,161,161,-1,528,15,0,0,0,0,0,,,,,,,,,,,,,
F9,2/4/19,243,N342FR,DEN,514,504,160,159,-10,516,12,0,0,0,0,0,,,,,,,,,,,,,
F9,2/5/19,243,N223FR,DEN,1015,1009,160,149,-6,1030,21,0,0,0,0,0,,,,,,,,,,,,,
F9,2/6/19,243,N210FR,DEN,514,511,160,144,-3,523,12,0,0,0,0,0,,,,,,,,,,,,,
F9,2/7/19,243,N312FR,DEN,514,510,160,150,-4,523,13,0,0,0,0,0,,,,,,,,,,,,,
F9,2/8/19,243,N330FR,DEN,514,508,160,160,-6,522,14,0,0,0,0,0,,,,,,,,,,,,,
F9,2/9/19,243,N206FR,DEN,514,540,160,150,26,550,10,16,0,0,0,0,,,,,,,,,,,,,
F9,2/10/19,243,N330FR,DEN,514,514,160,143,0,527,13,0,0,0,0,0,,,,,,,,,,,,,
F9,2/11/19,243,N342FR,DEN,514,508,160,156,-6,520,12,0,0,0,0,0,,,,,,,,,,,,,
F9,2/12/19,243,N227FR,DEN,1015,1011,160,181,-4,1045,34,0,0,17,0,0,,,,,,,,,,,,,
F9,2/13/19,243,N211FR,DEN,514,507,160,148,-7,520,13,0,0,0,0,0,,,,,,,,,,,,,
F9,2/14/19,243,N233FR,DEN,515,513,160,155,-2,525,12,0,0,0,0,0,,,,,,,,,,,,,
F9,2/15/19,243,N201FR,DEN,515,512,160,147,-3,523,11,0,0,0,0,0,,,,,,,,,,,,,
F9,2/16/19,243,N221FR,DEN,515,530,160,160,15,548,18,15,0,0,0,0,,,,,,,,,,,,,
F9,2/17/19,243,N213FR,DEN,515,512,160,139,-3,520,8,0,0,0,0,0,,,,,,,,,,,,,
F9,2/18/19,243,N329FR,DEN,515,503,160,161,-12,518,15,0,0,0,0,0,,,,,,,,,,,,,
F9,2/19/19,243,N310FR,DEN,515,510,160,132,-5,521,11,0,0,0,0,0,,,,,,,,,,,,,
F9,2/20/19,243,N301FR,DEN,515,511,160,130,-4,524,13,0,0,0,0,0,,,,,,,,,,,,,
F9,2/21/19,243,N235FR,DEN,515,517,160,153,2,530,13,0,0,0,0,0,,,,,,,,,,,,,
F9,2/22/19,243,N223FR,DEN,515,514,160,146,-1,534,20,0,0,0,0,0,,,,,,,,,,,,,
F9,2/23/19,243,N311FR,DEN,515,514,160,128,-1,524,10,0,0,0,0,0,,,,,,,,,,,,,
F9,2/24/19,243,N232FR,DEN,515,508,160,175,-7,522,14,0,0,0,0,0,,,,,,,,,,,,,
F9,2/25/19,243,N313FR,DEN,515,510,160,163,-5,525,15,0,0,0,0,0,,,,,,,,,,,,,
F9,2/26/19,243,N230FR,DEN,515,507,160,164,-8,520,13,0,0,0,0,0,,,,,,,,,,,,,
F9,2/27/19,243,N312FR,DEN,515,507,160,146,-8,519,12,0,0,0,0,0,,,,,,,,,,,,,
F9,2/28/19,243,N326FR,DEN,515,520,160,148,5,532,12,0,0,0,0,0,,,,,,,,,,,,,
F9,3/1/19,243,N230FR,DEN,515,519,162,167,4,530,11,0,0,0,0,0,,,,,,,,,,,,,
F9,3/2/19,243,N939FR,DEN,515,505,162,162,-10,518,13,0,0,0,0,0,,,,,,,,,,,,,
F9,3/3/19,243,N304FR,DEN,515,512,162,158,-3,525,13,0,0,0,0,0,,,,,,,,,,,,,
F9,3/4/19,243,N336FR,DEN,515,507,162,180,-8,526,19,0,0,0,0,0,,,,,,,,,,,,,
F9,3/5/19,243,N910FR,DEN,515,504,162,157,-11,518,14,0,0,0,0,0,,,,,,,,,,,,,
F9,3/6/19,243,N229FR,DEN,515,510,162,159,-5,536,26,0,0,0,0,0,,,,,,,,,,,,,
