Detailed Statistics Departures  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Origin Airport Houston, TX George Bush Intercontinental/Houston (IAH),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airline Delta Airlines Inc. (DL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month(s) January, February, March, April, May, June, July, August, September, October, November, and December,,,,,,,,,,,,,,,,,,
Day(s) 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29, 30 and 31
Year(s) 2019, 2020 and 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),,,,,,,,,,,,,
DL,1/1/19,1409,N919AT,ATL,600,602,124,108,2,615,13,0,0,0,0,0,,,,,,,,,,,,,
DL,1/1/19,2946,N935AT,ATL,925,924,127,105,-1,935,11,0,0,0,0,0,,,,,,,,,,,,,
DL,1/1/19,331,N933AT,ATL,1310,1305,121,107,-5,1314,9,0,0,0,0,0,,,,,,,,,,,,,
DL,1/1/19,2270,N947AT,ATL,1551,1545,121,102,-6,1556,11,0,0,0,0,0,,,,,,,,,,,,,
DL,1/1/19,54,N985AT,ATL,1728,1726,121,121,-2,1739,13,0,0,0,0,0,,,,,,,,,,,,,
DL,1/2/19,757,N891AT,ATL,600,609,125,116,9,621,12,0,0,0,0,0,,,,,,,,,,,,,
DL,1/2/19,1593,N319NB,SLC,633,634,202,201,1,647,13,0,0,0,0,0,,,,,,,,,,,,,
DL,1/2/19,1853,N943AT,ATL,700,657,126,104,-3,708,11,0,0,0,0,0,,,,,,,,,,,,,
DL,1/2/19,2747,N946AT,ATL,925,1106,129,118,101,1119,13,72,0,0,0,18,,,,,,,,,,,,,
DL,1/2/19,2208,N925AT,ATL,1120,1117,120,111,-3,1127,10,0,0,0,0,0,,,,,,,,,,,,,
DL,1/2/19,331,N949AT,ATL,1310,1317,124,109,7,1330,13,0,0,0,0,0,,,,,,,,,,,,,
DL,1/2/19,2369,N980AT,ATL,1551,1547,124,105,-4,1557,10,0,0,0,0,0,,,,,,,,,,,,,
DL,1/2/19,2497,N938AT,ATL,1728,1726,122,138,-2,1736,10,0,0,0,0,0,,,,,,,,,,,,,
DL,1/2/19,54,N992AT,ATL,1845,1841,119,126,-4,1900,19,0,0,0,0,0,,,,,,,,,,,,,
DL,1/3/19,757,N979AT,ATL,600,559,125,113,-1,610,11,0,0,0,0,0,,,,,,,,,,,,,
DL,1/3/19,1593,N354NB,SLC,633,627,202,186,-6,639,12,0,0,0,0,0,,,,,,,,,,,,,
DL,1/3/19,1853,N925AT,ATL,700,655,126,111,-5,707,12,0,0,0,0,0,,,,,,,,,,,,,
DL,1/3/19,2747,N987DN,ATL,925,935,129,118,10,957,22,0,0,0,0,0,,,,,,,,,,,,,
DL,1/3/19,2208,N936AT,ATL,1120,1115,120,126,-5,1142,27,0,0,0,0,0,,,,,,,,,,,,,
DL,1/3/19,331,N989DN,ATL,1310,1349,124,117,39,1410,21,32,0,0,0,0,,,,,,,,,,,,,
DL,1/3/19,2369,N919AT,ATL,1551,1546,124,119,-5,1603,17,0,0,0,0,0,,,,,,,,,,,,,
DL,1/3/19,54,N988AT,ATL,1728,1725,122,117,-3,1742,17,0,0,0,0,0,,,,,,,,,,,,,
DL,1/4/19,757,N957AT,ATL,600,549,125,112,-11,606,17,0,0,0,0,0,,,,,,,,,,,,,
DL,1/4/19,1593,N337NB,SLC,633,628,202,201,-5,652,24,0,0,0,0,0,,,,,,,,,,,,,
DL,1/4/19,1853,N963AT,ATL,700,655,126,110,-5,713,18,0,0,0,0,0,,,,,,,,,,,,,
DL,1/4/19,2747,N934AT,ATL,925,920,129,108,-5,934,14,0,0,0,0,0,,,,,,,,,,,,,
DL,1/4/19,2208,N993AT,ATL,1120,1117,120,117,-3,1132,15,0,0,0,0,0,,,,,,,,,,,,,
DL,1/4/19,331,N926AT,ATL,1310,1339,124,102,29,1347,8,0,0,0,0,0,,,,,,,,,,,,,
DL,1/4/19,2369,N959AT,ATL,1551,1546,124,116,-5,1602,16,0,0,0,0,0,,,,,,,,,,,,,
DL,1/4/19,2497,N923AT,ATL,1728,1722,122,123,-6,1742,20,0,0,0,0,0,,,,,,,,,,,,,
DL,1/5/19,1717,N930DN,ATL,700,657,120,112,-3,705,8,0,0,0,0,0,,,,,,,,,,,,,
DL,1/5/19,1848,N954AT,SLC,745,741,212,209,-4,758,17,0,0,0,0,0,,,,,,,,,,,,,
DL,1/5/19,1493,N363NB,ATL,800,803,130,113,3,816,13,0,0,0,0,0,,,,,,,,,,,,,
DL,1/5/19,1752,N908DA,ATL,1115,1110,116,115,-5,1120,10,0,0,0,0,0,,,,,,,,,,,,,
DL,1/5/19,1692,N930DN,ATL,1352,1404,119,117,12,1420,16,0,0,0,0,0,,,,,,,,,,,,,
DL,1/5/19,54,N352NB,ATL,1700,1656,120,110,-4,1705,9,0,0,0,0,0,,,,,,,,,,,,,
DL,1/6/19,1717,N362NB,ATL,600,604,124,124,4,626,22,0,0,0,0,0,,,,,,,,,,,,,
DL,1/6/19,1493,N921DN,ATL,800,802,133,114,2,814,12,0,0,0,0,0,,,,,,,,,,,,,
DL,1/6/19,1752,N912DN,ATL,1133,1128,118,115,-5,1142,14,0,0,0,0,0,,,,,,,,,,,,,
DL,1/6/19,1692,N926DH,ATL,1352,1348,121,109,-4,1357,9,0,0,0,0,0,,,,,,,,,,,,,
DL,1/6/19,1673,N355NB,ATL,1610,1604,122,110,-6,1615,11,0,0,0,0,0,,,,,,,,,,,,,
DL,1/6/19,54,N375NC,ATL,1731,1736,119,109,5,1744,8,0,0,0,0,0,,,,,,,,,,,,,
DL,1/6/19,1725,N929DN,ATL,1948,1947,127,107,-1,2000,13,0,0,0,0,0,,,,,,,,,,,,,
DL,1/7/19,1717,N355NB,ATL,600,554,124,113,-6,606,12,0,0,0,0,0,,,,,,,,,,,,,
DL,1/7/19,1817,N950DN,ATL,710,705,121,116,-5,715,10,0,0,0,0,0,,,,,,,,,,,,,
DL,1/7/19,1748,N942DN,ATL,940,937,129,105,-3,950,13,0,0,0,0,0,,,,,,,,,,,,,
DL,1/7/19,1752,N352NB,ATL,1133,1144,120,102,11,1153,9,0,0,0,0,0,,,,,,,,,,,,,
DL,1/7/19,1692,N963DN,ATL,1352,1355,121,102,3,1405,10,0,0,0,0,0,,,,,,,,,,,,,
DL,1/7/19,1673,N342NB,ATL,1610,1605,122,117,-5,1616,11,0,0,0,0,0,,,,,,,,,,,,,
DL,1/7/19,1680,N352NB,ATL,1718,1717,121,103,-1,1726,9,0,0,0,0,0,,,,,,,,,,,,,
DL,1/7/19,1725,N963DN,ATL,1948,1940,127,98,-8,1950,10,0,0,0,0,0,,,,,,,,,,,,,
DL,1/8/19,1717,N339NB,ATL,600,552,124,111,-8,604,12,0,0,0,0,0,,,,,,,,,,,,,
DL,1/8/19,1817,N951DN,ATL,710,705,121,108,-5,716,11,0,0,0,0,0,,,,,,,,,,,,,
DL,1/8/19,1748,N912DN,ATL,940,932,129,114,-8,946,14,0,0,0,0,0,,,,,,,,,,,,,
DL,1/8/19,1752,N364NB,ATL,1133,1126,120,112,-7,1134,8,0,0,0,0,0,,,,,,,,,,,,,
DL,1/8/19,1692,N909DA,ATL,1352,1348,121,104,-4,1358,10,0,0,0,0,0,,,,,,,,,,,,,
DL,1/8/19,1673,N340NB,ATL,1610,1609,122,104,-1,1619,10,0,0,0,0,0,,,,,,,,,,,,,
DL,1/8/19,54,N364NB,ATL,1718,1714,121,108,-4,1721,7,0,0,0,0,0,,,,,,,,,,,,,
DL,1/8/19,1725,N906DA,ATL,1948,1936,127,99,-12,1945,9,0,0,0,0,0,,,,,,,,,,,,,
DL,1/9/19,1717,N346NB,ATL,600,552,124,112,-8,606,14,0,0,0,0,0,,,,,,,,,,,,,
DL,1/9/19,1817,N928DN,ATL,710,703,121,105,-7,714,11,0,0,0,0,0,,,,,,,,,,,,,
DL,1/9/19,1748,N950DN,ATL,940,938,129,108,-2,947,9,0,0,0,0,0,,,,,,,,,,,,,
DL,1/9/19,1752,N338NB,ATL,1133,1131,120,110,-2,1139,8,0,0,0,0,0,,,,,,,,,,,,,
